id;name;meaning;gender;origin;PeoplesCount;WhenPeoplesCount;Source
31079;Atwell;Lives by the spring;Male;English;7000;04.07.2016 19:55:13;myData.biz
31080;Atwood;Lives in the forest;Male;English;14000;04.07.2016 19:55:21;myData.biz
31081;Atworth;Lives at the farmstead;Male;English;83;04.07.2016 19:55:30;myData.biz
31082;Atyhtan;entice;Male;Anglo;0;04.07.2016 19:55:35;myData.biz
31083;Atyhtan;Entice;Male;Anglo-Saxon;0;04.07.2016 19:55:43;myData.biz
31084;Aubert;noble;Male;French;8000;04.07.2016 19:55:52;myData.biz
31085;Auberta;Feminine variant of Albert.;Female;French;139;04.07.2016 19:56:03;myData.biz
31086;Aubin;Fair;Male;French;10000;04.07.2016 19:56:08;myData.biz
31087;Aubina;Blond;Female;French;23;04.07.2016 19:56:19;myData.biz
31088;Aubine;Blond;Female;French;103;04.07.2016 19:56:26;myData.biz
31089;Aubree;Rules with elf-wisdom.;Female;English;6000;04.07.2016 19:56:33;myData.biz
31090;Aubree;Rules with elf-wisdom.;Female;French;6000;04.07.2016 19:56:40;myData.biz
31091;Aubrey;Blond ruler;Male;French;50000;04.07.2016 19:56:48;myData.biz
31092;Aubrey;Rules with elf-wisdom.;Female;English;50000;04.07.2016 19:56:55;myData.biz
31093;Aubrey;Rules with elf-wisdom.;Female;French;50000;04.07.2016 19:57:03;myData.biz
31094;Aubrey;Rules with elf-wisdom.;Male;English;50000;04.07.2016 19:57:11;myData.biz
31095;Aubriana;Rules with elf-wisdom.;Female;English;281;04.07.2016 19:57:22;myData.biz
31096;Aubriana;Rules with elf-wisdom.;Female;French;281;04.07.2016 19:57:27;myData.biz
31097;Aubrianne;Rules with elf-wisdom.;Female;English;58;04.07.2016 19:57:38;myData.biz
31098;Aubrianne;Rules with elf-wisdom.;Female;French;58;04.07.2016 19:57:44;myData.biz
31099;Aubrie;Rules with elf-wisdom.;Female;English;3000;04.07.2016 19:57:53;myData.biz
31100;Aubrie;Rules with elf-wisdom.;Female;French;3000;04.07.2016 19:57:59;myData.biz
31101;Aubrin;Combination of Aubrey and Brin.;Female;Unknown;21;04.07.2016 19:58:12;myData.biz
31102;Aubry;Rules with elf-wisdom.;Female;English;8000;04.07.2016 19:58:17;myData.biz
31103;Aubry;Rules with elf-wisdom.;Female;French;8000;04.07.2016 19:58:23;myData.biz
31104;Aubry;Rules with elf-wisdom.;Male;English;8000;04.07.2016 19:58:31;myData.biz
31105;Aubry;Rules with elf-wisdom.;Male;French;8000;04.07.2016 19:58:39;myData.biz
31106;Auctor;Foster father of Arthur;Male;Arthurian Legend;191;04.07.2016 19:58:50;myData.biz
31107;Auda;Old or wealthy;Female;French;1000;04.07.2016 19:58:58;myData.biz
